step,reward,mean,median,std,max,min
0,0.025974025974025976,0.025974025974025976,0.025974025974025976,0.0,0.025974025974025976,0.025974025974025976
1,0.00975609756097561,0.017865061767500794,0.017865061767500794,0.008108964206525182,0.025974025974025976,0.00975609756097561
2,0.021052631578947368,0.018927585037982985,0.021052631578947368,0.006789313544272112,0.025974025974025976,0.00975609756097561
3,0.0,0.014195688778487238,0.015404364569961488,0.010086803776901633,0.025974025974025976,0.0
4,0.014184397163120567,0.014193430455413903,0.014184397163120567,0.00902191269892732,0.025974025974025976,0.0
5,0.03508771929824561,0.017675811929219187,0.01761851437103397,0.011334195792735645,0.03508771929824561,0.0
6,0.029411764705882353,0.01935237661159964,0.021052631578947368,0.011268416476690362,0.03508771929824561,0.0
7,0.0,0.016933329535149685,0.01761851437103397,0.012331568430746998,0.03508771929824561,0.0
8,0.023809523809523808,0.017697351121191255,0.021052631578947368,0.011825439275566826,0.03508771929824561,0.0
9,0.0,0.01592761600907213,0.01761851437103397,0.012411469451991263,0.03508771929824561,0.0
10,0.017543859649122806,0.016074547249076736,0.017543859649122806,0.011842989895825771,0.03508771929824561,0.0
11,0.046511627906976744,0.01861097063723507,0.019298245614035085,0.014118649198036194,0.046511627906976744,0.0
12,0.022222222222222223,0.01888875922069562,0.021052631578947368,0.013598849034086148,0.046511627906976744,0.0
13,0.03508771929824561,0.020045827797663476,0.021637426900584796,0.013752236274208081,0.046511627906976744,0.0
14,0.031746031746031744,0.020825841394221358,0.022222222222222223,0.013602706813606888,0.046511627906976744,0.0
15,0.04081632653061224,0.022075246715245793,0.023015873015873017,0.014031544300573278,0.046511627906976744,0.0
16,0.03076923076923077,0.022586657541950793,0.023809523809523808,0.0137654446489191,0.046511627906976744,0.0
17,0.0,0.021331843234064635,0.023015873015873017,0.014343217457057965,0.046511627906976744,0.0
18,0.021739130434782608,0.021353279402523476,0.022222222222222223,0.013960958944885827,0.046511627906976744,0.0
19,0.0,0.020285615432397302,0.021980676328502417,0.014381278685734253,0.046511627906976744,0.0
20,0.047619047619047616,0.02158720744128541,0.022222222222222223,0.015193925902474613,0.047619047619047616,0.0
21,0.044444444444444446,0.022626172759610822,0.023015873015873017,0.015589431848395981,0.047619047619047616,0.0
22,0.03225806451612903,0.023044950662068135,0.023809523809523808,0.015372771232180529,0.047619047619047616,0.0
23,0.08,0.0254180777178153,0.024891774891774892,0.01886809947785659,0.08,0.0
24,0.04081632653061224,0.02603400767032718,0.025974025974025976,0.018731520059612653,0.08,0.0
25,0.0273972602739726,0.02608644046277508,0.02668564312399929,0.018369637440532872,0.08,0.0
26,0.05128205128205128,0.027019611233859386,0.0273972602739726,0.018643676387066224,0.08,0.0
27,0.02857142857142857,0.027075033281629714,0.027984344422700584,0.01830999161391625,0.08,0.0
28,0.05,0.027865549375366623,0.02857142857142857,0.018471407303279962,0.08,0.0
29,0.0392156862745098,0.028243887272004727,0.028991596638655463,0.01827486905183781,0.08,0.0
30,0.05714285714285714,0.029176112106548354,0.029411764705882353,0.018688736721873572,0.08,0.0
31,0.025974025974025976,0.029076046914907023,0.028991596638655463,0.018402843043163766,0.08,0.0
32,0.0392156862745098,0.029383308713682863,0.029411764705882353,0.018205031762638647,0.08,0.0
33,0.02857142857142857,0.029359429885969502,0.028991596638655463,0.017935837237067688,0.08,0.0
34,0.028985507246376812,0.02934874638198114,0.028985507246376812,0.017677863942353152,0.08,0.0
35,0.0,0.028533503426926107,0.02877846790890269,0.018085570622136622,0.08,0.0
36,0.045454545454545456,0.028990828887132038,0.028985507246376812,0.01804929164604416,0.08,0.0
37,0.0,0.028227912337470667,0.02877846790890269,0.018404874173209112,0.08,0.0
38,0.0,0.027504119713432956,0.02857142857142857,0.018707245837932696,0.08,0.0
39,0.0,0.02681651672059714,0.02857142857142857,0.018964470407167807,0.08,0.0
40,0.058823529411764705,0.027597175566723177,0.02857142857142857,0.01937153293403523,0.08,0.0
41,0.047619047619047616,0.028073886806064235,0.02877846790890269,0.019381408940522735,0.08,0.0
42,0.03333333333333333,0.02819619951600073,0.028985507246376812,0.01917111259915415,0.08,0.0
43,0.017241379310344827,0.027947226329508548,0.02877846790890269,0.01902219853683538,0.08,0.0
44,0.02247191011235955,0.02782555263579413,0.02857142857142857,0.018826960881447412,0.08,0.0
45,0.0,0.02722064931762469,0.02857142857142857,0.019058194706573054,0.08,0.0
46,0.023255813953488372,0.027136291118387747,0.02857142857142857,0.018863036907678626,0.08,0.0
47,0.02197802197802198,0.027028827177963455,0.027984344422700584,0.018680046728549372,0.08,0.0
48,0.03508771929824561,0.027193294364091663,0.02857142857142857,0.01852353126534575,0.08,0.0
49,0.0,0.02664942847680983,0.027984344422700584,0.01872838758119798,0.08,0.0
50,0.05405405405405406,0.027186774076363638,0.02857142857142857,0.018929131412515395,0.08,0.0
51,0.05714285714285714,0.02776285259687313,0.02857142857142857,0.019192357590738073,0.08,0.0
52,0.02531645569620253,0.027716694164785,0.02857142857142857,0.019013349138875885,0.08,0.0
53,0.0,0.027203422050622317,0.027984344422700584,0.019203531474745232,0.08,0.0
54,0.017241379310344827,0.02702229400079909,0.0273972602739726,0.019074648301139,0.08,0.0
55,0.0,0.026539753036499105,0.02668564312399929,0.019239322845472005,0.08,0.0
56,0.0,0.026074143334104384,0.025974025974025976,0.01938551085066635,0.08,0.0
57,0.0,0.02562458913868879,0.025974025974025976,0.019515081247559837,0.08,0.0
58,0.0,0.025190274068541522,0.025974025974025976,0.01962967202167415,0.08,0.0
59,0.08333333333333333,0.02615932505628805,0.025974025974025976,0.02084002125266401,0.08333333333333333,0.0
60,0.029850746268656716,0.026219840158130163,0.025974025974025976,0.02067381029245986,0.08333333333333333,0.0
61,0.0,0.025796939510418386,0.025974025974025976,0.02077070827649807,0.08333333333333333,0.0
62,0.0625,0.026379527772157775,0.025974025974025976,0.02110965921245181,0.08333333333333333,0.0
63,0.08,0.02721734765071781,0.02668564312399929,0.021974469065171396,0.08333333333333333,0.0
64,0.018018018018018018,0.027075819502522427,0.025974025974025976,0.021834155426113284,0.08333333333333333,0.0
65,0.045454545454545456,0.02735428504725005,0.02668564312399929,0.021784110150014132,0.08333333333333333,0.0
66,0.034482758620689655,0.027460680175211836,0.0273972602739726,0.021638201684208307,0.08333333333333333,0.0
