episode,length,time,reward,delta
0,19.0,0.001316999999971813,0.0,-0.00025558149888250503
1,30.0,0.0020030000000019754,0.0,-0.00017622402016713483
2,36.0,0.003054000000020096,0.0,-0.0005254011833884884
3,10.0,0.0012680000000386826,0.0,-0.0004483547785430072
4,6.0,0.0009150000000204273,0.0,-3.2926272414102035e-05
5,41.0,0.004021999999963555,0.0,0.00023741885894983707
6,41.0,0.004592999999999847,0.0,-0.00012896362003927156
7,38.0,0.002785000000017135,0.0,1.5262852135763472e-06
8,11.0,0.0008500000000140062,0.0,0.00011726458855401947
9,7.0,0.0006179999999744723,0.0,-0.00031414253760046404
10,40.0,0.0026849999999853935,0.0,-6.44818100196358e-05
11,23.0,0.0016140000000177679,0.0,-0.0002608666044451953
12,14.0,0.0009689999999977772,0.0,-0.00023063586265444286
13,68.0,0.0043180000000120344,0.0,-0.0005533039192995458
14,32.0,0.0022569999999859647,0.0,-0.00010869298336251866
15,38.0,0.0024980000000027758,0.0,0.00019367108864060467
16,37.0,0.002444000000025426,0.0,-0.00028955410525345724
17,35.0,0.0023810000000139553,0.0,-0.0007356912932689511
18,39.0,0.0025420000000053733,0.0,-0.0002627005916942442
19,83.0,0.0054139999999733845,0.0,-2.4981429889478816e-05
20,20.0,0.001377999999988333,0.0,0.0002226667475609621
21,40.0,0.0026699999999664215,0.0,-0.0001313502958471221
22,15.0,0.0010359999999991487,0.0,0.00020981819986728753
23,18.0,0.0012140000000044893,0.0,0.000192294150583604
24,7.0,0.0005669999999895481,0.0,-0.00010885945794428215
25,24.0,0.0016350000000215914,0.0,0.00017413929870139342
26,34.0,0.0022759999999948377,0.0,-0.00028095645677085504
27,18.0,0.0011839999999665451,0.0,-0.00010609289073930053
28,18.0,0.0012080000000196378,0.0,0.0002311294727276782
29,72.0,0.004723000000012689,0.0,0.00022514918201909452
30,24.0,0.0016180000000076689,0.0,0.00019845329975866024
31,14.0,0.001006000000018048,0.0,0.00019122185348617035
32,38.0,0.002436000000045624,0.0,-8.788539402864012e-05
33,23.0,0.0015260000000125729,0.0,0.0001932236900776719
34,40.0,0.0025420000000053733,0.0,-6.027703968738854e-05
35,6.0,0.00042599999994763493,0.0,0.00018712718234572108
36,77.0,0.004859000000010383,0.0,-0.0006598699846006099
37,23.0,0.0015589999999860993,0.0,-1.3109777099973535e-05
38,15.0,0.0010229999999751271,0.0,0.00023766238091352937
