step,reward,mean,median,std,max,min
0,-0.025454545454545414,-0.025454545454545414,-0.025454545454545414,0.0,-0.025454545454545414,-0.025454545454545414
1,-0.010869565217391266,-0.01816205533596834,-0.01816205533596834,0.007292490118577074,-0.010869565217391266,-0.025454545454545414
2,-0.10529411764705882,-0.04720607610633184,-0.025454545454545414,0.041503781672336496,-0.010869565217391266,-0.10529411764705882
3,0.007894736842105246,-0.03343087286922257,-0.01816205533596834,0.043141529788589185,0.007894736842105246,-0.10529411764705882
4,-0.012765957446808465,-0.02929788978473975,-0.012765957446808465,0.039462380449058906,0.007894736842105246,-0.10529411764705882
5,-0.11199999999999997,-0.043081574820616454,-0.01911025145067694,0.047409732735973945,0.007894736842105246,-0.11199999999999997
6,-0.05494505494505492,-0.044776357695536236,-0.025454545454545414,0.044088762232390714,0.007894736842105246,-0.11199999999999997
7,-0.1108433734939759,-0.053034734670341185,-0.04019980019980017,0.04667169503662972,0.007894736842105246,-0.11199999999999997
8,-0.10370370370370371,-0.05866462011849258,-0.05494505494505492,0.046795133735853145,0.007894736842105246,-0.11199999999999997
9,-0.1134328358208955,-0.06414144168873287,-0.07932437932437932,0.04733673264845163,0.007894736842105246,-0.1134328358208955
10,-0.05287356321839078,-0.06311708910051995,-0.05494505494505492,0.04524989742133778,0.007894736842105246,-0.1134328358208955
11,-0.0793969849246231,-0.06447374708586188,-0.06717101993483901,0.043556509406776064,0.007894736842105246,-0.1134328358208955
12,-0.11666666666666663,-0.06848858705361609,-0.0793969849246231,0.04409830694049237,0.007894736842105246,-0.11666666666666663
13,-0.048101265822784775,-0.06703234982284242,-0.06717101993483901,0.042817338665870126,0.007894736842105246,-0.11666666666666663
14,0.013888888888888876,-0.06163760057539367,-0.05494505494505492,0.04602770176678946,0.013888888888888876,-0.11666666666666663
15,-0.057731958762886594,-0.06139349796211198,-0.05633850685397076,0.044576157170609663,0.013888888888888876,-0.11666666666666663
16,-0.040579710144927505,-0.060169157502277595,-0.05494505494505492,0.04352164519647539,0.013888888888888876,-0.11666666666666663
17,-0.0023809523809523725,-0.05695870166220397,-0.05390930908172285,0.04431843194482113,0.013888888888888876,-0.11666666666666663
18,-0.11139240506329111,-0.059823633420155925,-0.05494505494505492,0.044816174594987795,0.013888888888888876,-0.11666666666666663
19,0.013888888888888876,-0.05613800730470368,-0.05390930908172285,0.04654200240059699,0.013888888888888876,-0.11666666666666663
20,-0.05287356321839078,-0.05598255758630783,-0.05287356321839078,0.045425663444809035,0.013888888888888876,-0.11666666666666663
21,-0.05940594059405939,-0.056138165904842,-0.05390930908172285,0.04438698403185252,0.013888888888888876,-0.11666666666666663
22,-0.11607142857142858,-0.05874395993382402,-0.05494505494505492,0.04509907835153644,0.013888888888888876,-0.11666666666666663
23,-0.10569620253164554,-0.060700303375399924,-0.05633850685397076,0.04513543339251587,0.013888888888888876,-0.11666666666666663
24,-0.048749999999999995,-0.06022229124038393,-0.05494505494505492,0.04428547107188055,0.013888888888888876,-0.11666666666666663
25,-0.11525423728813558,-0.06233890454991284,-0.05633850685397076,0.044696458058694225,0.013888888888888876,-0.11666666666666663
26,-0.10865384615384616,-0.06405427275746593,-0.057731958762886594,0.04472456201272886,0.013888888888888876,-0.11666666666666663
27,0.024242424242424235,-0.06090081929318414,-0.05633850685397076,0.04687582427895195,0.024242424242424235,-0.11666666666666663
28,0.0025000000000000022,-0.05871458414514331,-0.05494505494505492,0.047491072133310136,0.024242424242424235,-0.11666666666666663
29,0.007894736842105246,-0.05649427344556836,-0.05390930908172285,0.048199434399540976,0.024242424242424235,-0.11666666666666663
30,0.0025000000000000022,-0.05459123236667906,-0.05287356321839078,0.04854782147421306,0.024242424242424235,-0.11666666666666663
31,-0.10775862068965517,-0.05625271325177205,-0.05390930908172285,0.048670465456582074,0.024242424242424235,-0.11666666666666663
32,-0.05816326530612244,-0.056310608768570546,-0.05494505494505492,0.0479284802549385,0.024242424242424235,-0.11666666666666663
33,-0.03278688524590161,-0.05561873454731558,-0.05390930908172285,0.04738536767063494,0.024242424242424235,-0.11666666666666663
34,-0.11285714285714282,-0.05725411764188207,-0.05494505494505492,0.04766709347610643,0.024242424242424235,-0.11666666666666663
35,-0.05899999999999998,-0.05730261437405201,-0.05633850685397076,0.047001263709877075,0.024242424242424235,-0.11666666666666663
36,-0.10580645161290321,-0.05861352889402097,-0.057731958762886594,0.04702423592899012,0.024242424242424235,-0.11666666666666663
37,-0.06306306306306304,-0.05873062189846944,-0.05794761203450452,0.046406836962006676,0.024242424242424235,-0.11666666666666663
38,-0.05287356321839078,-0.05858044090667256,-0.057731958762886594,0.045817367985769866,0.024242424242424235,-0.11666666666666663
39,-0.07602339181286548,-0.05901651467932737,-0.05794761203450452,0.04532291563864314,0.024242424242424235,-0.11666666666666663
40,-0.03387096774193545,-0.05840320865646415,-0.057731958762886594,0.04493451709660218,0.024242424242424235,-0.11666666666666663
41,-0.06666666666666668,-0.05859995765670707,-0.05794761203450452,0.04441423056110843,0.024242424242424235,-0.11666666666666663
42,-0.07759562841530053,-0.05904171744179063,-0.05816326530612244,0.04398801284658302,0.024242424242424235,-0.11666666666666663
43,-0.11011235955056178,-0.06020241385335361,-0.05858163265306121,0.04414634231852414,0.024242424242424235,-0.11666666666666663
44,-0.045333333333333316,-0.059871989841797604,-0.05816326530612244,0.043708060842841026,0.024242424242424235,-0.11666666666666663
45,-0.05444444444444443,-0.059753999724463845,-0.05794761203450452,0.04323760794352558,0.024242424242424235,-0.11666666666666663
46,-0.12195121951219512,-0.06107734482633047,-0.05816326530612244,0.043706652649652525,0.024242424242424235,-0.12195121951219512
47,-0.10756302521008403,-0.062045796500992005,-0.05858163265306121,0.043755632775507175,0.024242424242424235,-0.12195121951219512
48,0.013888888888888876,-0.06049610904405566,-0.05816326530612244,0.04461789258459831,0.024242424242424235,-0.12195121951219512
49,0.041379310344827565,-0.05845860065627799,-0.05794761203450452,0.04641510307001257,0.041379310344827565,-0.12195121951219512
50,-0.08110599078341015,-0.05890266712935901,-0.05816326530612244,0.046064944985613344,0.041379310344827565,-0.12195121951219512
51,-0.048749999999999995,-0.05870742353071749,-0.05794761203450452,0.045641165500666554,0.041379310344827565,-0.12195121951219512
