steps,time,reward,delta,converged
1,0.001099999999951251,-0.16000000000000003,1.0002706997289401,False
2,0.0009999999997489795,-0.16000000000000003,1.0006772962837354,False
3,0.0006069999999454012,-0.19999999999999998,1.0006772962837354,False
4,0.0024439999997412087,-0.12432432432432436,1.0007430376470943,False
5,0.00213099999973565,-0.13000000000000003,1.0007430376470943,False
6,0.0007789999999658903,-0.2125,1.0007430376470943,False
7,0.0036540000000968575,-0.11730769230769227,1.0007430376470943,False
8,0.0012300000003051537,-0.15625,1.0007430376470943,False
9,0.0017119999997703417,-0.13461538461538464,1.0007430376470943,False
10,0.016208000000005995,-0.10347490347490385,1.0007430376470943,False
11,0.0018759999998110288,-0.13103448275862073,1.0007430376470943,False
12,0.004090000000360305,-0.11384615384615374,1.0007430376470943,False
13,0.00421100000039587,-0.11343283582089542,1.0007430376470943,False
14,0.0016399999999521242,-0.13600000000000004,1.0007430376470943,False
15,0.004967000000306143,-0.11168831168831155,1.0007430376470943,False
16,0.001655999999911728,-0.13461538461538464,1.0007430376470943,False
17,0.0017330000000583823,-0.13333333333333336,1.0007430376470943,False
18,0.000788000000284228,-0.17499999999999996,1.0007940398329613,False
19,0.0014549999996233964,-0.14090909090909093,1.0007940398329613,False
20,0.0022770000000491564,-0.12500000000000006,1.0007940398329613,False
21,0.004566999999951804,-0.11216216216216203,1.0007940398329613,False
22,0.0006669999997939158,-0.19,1.0007940398329613,False
23,0.001904000000195083,-0.13000000000000003,1.0007940398329613,False
24,0.0014899999996487168,-0.13913043478260873,1.0007940398329613,False
25,0.0026579999998830317,-0.12142857142857147,1.0007940398329613,False
26,0.001678000000083557,-0.13461538461538464,1.0007940398329613,False
27,0.0030560000000150467,-0.11836734693877549,1.0007940398329613,False
28,0.0006100000000515138,-0.19,1.0007940398329613,False
29,0.0027680000002874294,-0.12045454545454547,1.0007940398329613,False
30,0.0014489999998659187,-0.14090909090909093,1.0007940398329613,False
31,0.004317999999784661,-0.11285714285714274,1.0007940398329613,False
32,0.0023030000002108864,-0.12432432432432436,1.0007940398329613,False
33,0.001619000000118831,-0.13600000000000004,1.0007940398329613,False
34,0.004155000000082509,-0.11384615384615374,1.0007940398329613,False
35,0.00295300000016141,-0.12000000000000001,1.0007940398329613,False
36,0.0013269999999465654,-0.14500000000000002,1.000802104833676,False
37,0.005468999999720836,-0.11058823529411749,1.000802104833676,False
38,0.002140999999937776,-0.12727272727272732,1.000802104833676,False
39,0.0011450000001786975,-0.15000000000000002,1.000802104833676,False
40,0.0013870000002498273,-0.14285714285714288,1.000802104833676,False
41,0.0016220000002249435,-0.13600000000000004,1.0008282934732569,False
42,0.001202999999804888,-0.14736842105263162,1.0008282934732569,False
43,0.0012069999997947889,-0.14736842105263162,1.0008282934732569,False
44,0.0077639999999519205,-0.08306451612903204,1.9997160142942367,False
45,0.0012110000002394372,-0.15000000000000002,1.9997160142942367,False
46,0.008730000000014115,-0.10652173913043454,1.9997160142942367,False
47,0.0028470000002016604,-0.12000000000000001,1.9997160142942367,False
48,0.0006990000001678709,-0.18181818181818182,1.9997160142942367,False
49,0.0009700000000520959,-0.16000000000000003,1.9997160142942367,False
50,0.0008680000000822474,-0.19999999999999998,1.9997160142942367,False
51,0.0007059999998091371,-0.18181818181818182,1.9997160142942367,False
52,0.003808999999819207,-0.11764705882352938,1.9997160142942367,False
53,0.00574800000003961,-0.1104651162790696,1.9997160142942367,False
54,0.0023719999999229913,-0.12647058823529417,1.9997160142942367,False
55,0.002984000000196829,-0.12000000000000001,1.9997160142942367,False
56,0.0009420000001227891,-0.16428571428571428,1.9997160142942367,False
57,0.0017320000001745939,-0.13461538461538464,1.9997160142942367,False
58,0.0013429999999061693,-0.16000000000000003,1.9997160142942367,False
59,0.0012709999996332044,-0.18181818181818182,1.9997160142942367,False
60,0.0019860000002154266,-0.13913043478260873,1.9997160142942367,False
61,0.006703000000015891,-0.11578947368421046,1.9997160142942367,False
62,0.0033829999997578852,-0.13000000000000003,1.9997160142942367,False
63,0.004771999999775289,-0.11836734693877549,1.9997160142942367,False
64,0.0028029999998580024,-0.12647058823529417,1.9997160142942367,False
65,0.003784999999879801,-0.12195121951219516,1.9997160142942367,False
66,0.004124999999930878,-0.12142857142857147,1.9997160142942367,False
67,0.0027329999998073617,-0.12093023255813956,1.9997160142942367,False
68,0.0013149999999768625,-0.14285714285714288,1.9997160142942367,False
69,0.0054350000000340515,-0.11058823529411749,1.9997160142942367,False
70,0.0010809999998855346,-0.15294117647058827,1.9997160142942367,False
71,0.0025800000003073364,-0.12195121951219516,1.9997160142942367,False
72,0.006186000000070635,-0.1090909090909089,1.9997160142942367,False
73,0.0023609999998370768,-0.12368421052631584,1.9997160142942367,False
74,0.0014439999999922293,-0.14090909090909093,1.9997160142942367,False
75,0.0007350000000769796,-0.18181818181818182,1.9997160142942367,False
76,0.000559999999950378,-0.2125,1.9997160142942367,False
77,0.0016439999999420252,-0.13461538461538464,1.9997160142942367,False
78,0.004793999999947118,-0.11184210526315776,1.9997160142942367,False
79,0.0024049999997259874,-0.12307692307692314,1.9997160142942367,False
80,0.002615999999761698,-0.12142857142857147,1.9997160142942367,False
81,0.0038180000001375447,-0.11499999999999992,1.9997160142942367,False
82,0.001768999999967491,-0.13333333333333336,1.9997160142942367,False
83,0.002114999999776046,-0.12727272727272732,1.9997160142942367,False
84,0.0026590000002215675,-0.12142857142857147,1.9997160142942367,False
85,0.002686000000267086,-0.12142857142857147,1.9997160142942367,False
86,0.0013940000003458408,-0.14090909090909093,1.9997160142942367,False
87,0.0019559999996090482,-0.12903225806451618,1.9997160142942367,False
88,0.00084500000002663,-0.16923076923076924,1.9997160142942367,False
89,0.002039999999851716,-0.12812500000000004,1.9997160142942367,False
90,0.0023150000001805893,-0.12432432432432436,1.9997160142942367,False
91,0.007607000000007247,-0.10731707317073148,1.9997160142942367,False
92,0.002306000000316999,-0.12432432432432436,1.9997160142942367,False
93,0.0007230000001072767,-0.17499999999999996,1.9997160142942367,False
94,0.0019050000000788714,-0.13000000000000003,1.9997160142942367,False
95,0.00255799999968076,-0.12250000000000005,1.9997160142942367,False
96,0.0010829999996531114,-0.15294117647058827,1.9997160142942367,False
97,0.0007780000000821019,-0.16923076923076924,1.9997160142942367,False
98,0.001944999999977881,-0.13000000000000003,1.9997160142942367,False
99,0.0019839999999931024,-0.12903225806451618,1.9997160142942367,False
100,0.0014630000000579457,-0.13913043478260873,1.9997160142942367,False
101,0.0012139999998908024,-0.14736842105263162,1.9997160142942367,False
102,0.0024399999997513078,-0.12432432432432436,1.9997160142942367,False
103,0.000849000000016531,-0.16923076923076924,1.9997160142942367,False
104,0.0036520000003292807,-0.11698113207547164,1.9997160142942367,False
105,0.0006699999999000283,-0.18181818181818182,1.9997160142942367,False
106,0.0006669999997939158,-0.18181818181818182,1.9997160142942367,False
107,0.0018729999997049163,-0.13103448275862073,1.9997160142942367,False
108,0.002128999999968073,-0.12647058823529417,1.9997160142942367,False
109,0.0029460000000653963,-0.11914893617021276,1.9997160142942367,False
110,0.004372999999759486,-0.11285714285714274,1.9997160142942367,False
111,0.002035999999861815,-0.12812500000000004,1.9997160142942367,False
112,0.002492999999958556,-0.12307692307692314,1.9997160142942367,False
113,0.0027520000003278255,-0.12142857142857147,1.9997160142942367,False
114,0.0018770000001495646,-0.13103448275862073,1.9997160142942367,False
115,0.004970999999841297,-0.111392405063291,1.9997160142942367,False
116,0.0036150000000816362,-0.1160714285714285,1.9997160142942367,False
117,0.0017149999998764542,-0.13461538461538464,1.9997160142942367,False
118,0.0011330000002089946,-0.15000000000000002,1.9997160142942367,False
119,0.002058000000033644,-0.12812500000000004,1.9997160142942367,False
120,0.0009130000003096939,-0.16428571428571428,1.9997160142942367,False
121,0.0019379999998818676,-0.13000000000000003,1.9997160142942367,False
122,0.0028070000003026507,-0.12045454545454547,1.9997160142942367,False
