step,reward,mean,median,std,max,min
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,0.04819277108433735,0.00321285140562249,0.0,0.012021389194454432,0.04819277108433735,0.0
15,0.0,0.0030120481927710845,0.0,0.011665612488576558,0.04819277108433735,0.0
16,0.0,0.002834868887313962,0.0,0.011339475549255846,0.04819277108433735,0.0
17,0.0,0.0026773761713520753,0.0,0.011039104753996415,0.04819277108433735,0.0
18,0.0,0.0025364616360177552,0.0,0.010761295338286075,0.04819277108433735,0.0
19,0.0,0.0024096385542168677,0.0,0.01050337094829078,0.04819277108433735,0.0
20,0.0,0.0022948938611589216,0.0,0.010263077349396629,0.04819277108433735,0.0
21,0.0,0.002190580503833516,0.0,0.010038500974711586,0.04819277108433735,0.0
22,0.0,0.0020953378732320588,0.0,0.009828005782762559,0.04819277108433735,0.0
23,0.07142857142857142,0.004984222604704532,0.0,0.01686757812312812,0.07142857142857142,0.0
24,0.0,0.004784853700516351,0.0,0.016555619442026624,0.07142857142857142,0.0
25,0.0,0.004600820865881107,0.0,0.01626017744306123,0.07142857142857142,0.0
26,0.0,0.004430420093070695,0.0,0.015979861402176262,0.07142857142857142,0.0
27,0.0,0.004272190804032456,0.0,0.015713436927020007,0.07142857142857142,0.0
28,0.09090909090909091,0.0072596701179999884,0.0,0.022097484109086008,0.09090909090909091,0.0
29,0.0,0.007017681114066656,0.0,0.02176511839654557,0.09090909090909091,0.0
30,0.0,0.006791304303935474,0.0,0.021447062038380954,0.09090909090909091,0.0
31,0.0,0.00657907604443749,0.0,0.021142338358049108,0.09090909090909091,0.0
32,0.0,0.00637971010369696,0.0,0.020850058991118636,0.09090909090909091,0.0
33,0.04597701149425287,0.007544336615183898,0.0,0.021603209108170054,0.09090909090909091,0.0
34,0.0,0.0073287841404643585,0.0,0.02132941945681104,0.09090909090909091,0.0
35,0.0,0.007125206803229238,0.0,0.021065548365213693,0.09090909090909091,0.0
36,0.0,0.006932633646385204,0.0,0.020811028945690216,0.09090909090909091,0.0
37,0.0,0.006750195918848751,0.0,0.020565336759463846,0.09090909090909091,0.0
38,0.0,0.006577113972211604,0.0,0.020327986075181978,0.09090909090909091,0.0
39,0.0,0.0064126861229063135,0.0,0.02009852647866087,0.09090909090909091,0.0
40,0.0,0.006256279144298843,0.0,0.019876539804740613,0.09090909090909091,0.0
41,0.0,0.006107320117053632,0.0,0.019661637362461057,0.09090909090909091,0.0
42,0.0,0.005965289416657036,0.0,0.01945345742602263,0.09090909090909091,0.0
43,0.0,0.005829714657187558,0.0,0.01925166296575434,0.09090909090909091,0.0
44,0.0,0.00570016544258339,0.0,0.01905593959530548,0.09090909090909091,0.0
45,0.0,0.005576248802527229,0.0,0.018865993713338983,0.09090909090909091,0.0
46,0.0,0.0054576052109840964,0.0,0.018681550820029223,0.09090909090909091,0.0
47,0.0,0.005343905102421928,0.0,0.01850235399059441,0.09090909090909091,0.0
48,0.0,0.005234845814617399,0.0,0.01832816248989062,0.09090909090909091,0.0
49,0.0,0.005130148898325051,0.0,0.018158750513746588,0.09090909090909091,0.0
50,0.0,0.005029557743455933,0.0,0.01799390604422119,0.09090909090909091,0.0
51,0.0,0.004932835479158703,0.0,0.017833429807323754,0.09090909090909091,0.0
52,0.0,0.0048397631116274065,0.0,0.01767713432295785,0.09090909090909091,0.0
53,0.0,0.004750137868819492,0.0,0.01752484303794192,0.09090909090909091,0.0
54,0.0,0.004663771725750047,0.0,0.017376389533935815,0.09090909090909091,0.0
55,0.0,0.004580490087790224,0.0,0.017231616802972232,0.09090909090909091,0.0
56,0.0,0.004500130612565834,0.0,0.01709037658406564,0.09090909090909091,0.0
57,0.0,0.004422542153728492,0.0,0.016952528755060346,0.09090909090909091,0.0
58,0.0,0.004347583812139874,0.0,0.01681794077449085,0.09090909090909091,0.0
59,0.0,0.004275124081937543,0.0,0.016686487168772298,0.09090909090909091,0.0
60,0.0,0.004205040080594304,0.0,0.016558049060522176,0.09090909090909091,0.0
61,0.0,0.004137216853487944,0.0,0.016432513734244952,0.09090909090909091,0.0
62,0.0851063829787234,0.005422441712618666,0.0,0.01918731713659204,0.09090909090909091,0.0
63,0.0,0.005337716060858999,0.0,0.019048700417010282,0.09090909090909091,0.0
64,0.0,0.005255597352230399,0.0,0.018913017125504163,0.09090909090909091,0.0
