steps,time,reward,delta,converged
1,0.0017090000000052896,0.0,0,False
2,0.006282000000055632,0.0,0,False
3,0.007520999999997002,0.0,0,False
4,0.0018709999999373395,0.0,0,False
5,0.012336000000004788,0.0,0,False
6,0.0016450000000531873,0.0,0,False
7,0.0021259999999756474,0.0,0,False
8,0.004423999999971784,0.0,0,False
9,0.002392999999983658,0.0,0,False
10,0.007080000000087239,0.0,0,False
11,0.0018289999999296924,0.0,0,False
12,0.002740000000017062,0.0,0,False
13,0.007494000000065171,0.0,0,False
14,0.006839000000013584,0.0,0,False
15,0.002471000000014101,0.0,0,False
16,0.0006309999999984939,0.0,0,False
17,0.003780000000006112,0.0,0,False
18,0.0050630000000637665,0.0,0,False
19,0.002835000000004584,0.0,0,False
20,0.006551999999942382,0.0,0,False
21,0.0016810000000759828,0.0,0,False
22,0.002078999999980624,0.0,0,False
23,0.011167999999997846,0.0,0,False
24,0.0033640000000332293,0.0,0,False
25,0.011614000000008673,0.0,0,False
26,0.004077999999935855,0.0,0,False
27,0.003535000000056243,0.0,0,False
28,0.0008690000000797227,0.0,0,False
29,0.01645799999994324,0.0,0,False
30,0.0060619999999289575,0.0,0,False
31,0.002338000000008833,0.0,0,False
32,0.0030140000000073996,0.0,0,False
33,0.0035570000000006985,0.0,0,False
34,0.003221000000053209,0.0,0,False
35,0.009760000000028413,0.0,0,False
36,0.0029719999999997526,0.0,0,False
37,0.004048000000011598,0.0,0,False
38,0.0011779999999816937,0.0,0,False
39,0.01783499999999094,0.0,0,False
40,0.0019849999999905776,0.0,0,False
41,0.020703000000025895,0.0,0,False
42,0.003604999999993197,0.0,0,False
43,0.007305999999971391,0.0,0,False
44,0.0052339999999730935,0.0,0,False
45,0.015754000000015367,0.0,0,False
46,0.0008629999999811844,0.0,0,False
47,0.00889299999994364,0.0,0,False
48,0.0031480000000101427,0.0,0,False
49,0.000904000000105043,0.0,0,False
50,0.0008430000000316795,0.0,0,False
51,0.01317000000005919,0.0,0,False
52,0.004047000000014123,0.0,0,False
53,0.002884999999992033,0.0,0,False
54,0.027435999999966043,0.0,0,False
55,0.002919000000019878,0.0,0,False
56,0.0022910000000138098,0.0,0,False
57,0.0022819999999228457,0.0,0,False
58,0.007734000000027663,0.0,0,False
59,0.0030180000001109875,0.0,0,False
60,0.006655000000023392,0.0,0,False
