steps,time,reward,delta,converged
1,0.0012859999999363936,0.0,0,False
2,0.0013519999999971333,0.0,0,False
3,0.005235000000084256,0.0,0,False
4,0.003516999999988002,0.0,0,False
5,0.002597000000037042,0.0,0,False
6,0.004053999999996449,0.0,0,False
7,0.003700999999978194,0.0,0,False
8,0.0022690000000693544,0.0,0,False
9,0.0009079999999812571,0.0,0,False
10,0.006038999999987027,0.0,0,False
11,0.0013940000000047803,0.0,0,False
12,0.0012299999999640931,0.0,0,False
13,0.012543999999934385,0.0,0,False
14,0.008720000000039363,0.0,0,False
15,0.000739999999950669,0.0,0,False
16,0.006202999999914027,0.0,0,False
17,0.007129999999961001,0.0,0,False
18,0.00419200000010278,0.0,0,False
19,0.005653000000052089,0.0,0,False
20,0.005417000000079497,0.0,0,False
21,0.0035120000000006257,0.0,0,False
22,0.01637500000003911,0.0,0,False
23,0.001832000000035805,0.0,0,False
24,0.012315000000057807,0.0,0,False
25,0.0066520000000309665,0.0,0,False
26,0.0037869999999884385,0.0,0,False
27,0.005308000000013635,0.0,0,False
28,0.004810000000020409,0.0,0,False
29,0.002094999999940228,0.0,0,False
30,0.003601000000003296,0.0,0,False
31,0.017523999999980333,0.0,0,False
32,0.006199000000037813,0.0,0,False
33,0.012000000000057298,0.0,0,False
34,0.011516000000028725,0.0,0,False
35,0.005965999999943961,0.0,0,False
36,0.005400000000008731,0.0,0,False
37,0.004703000000063184,0.0,0,False
38,0.005313999999998487,0.0,0,False
39,0.004692999999974745,0.0,0,False
40,0.005386000000044078,0.0,0,False
41,0.0007789999999658903,0.0,0,False
42,0.004241999999976542,0.0,0,False
43,0.010860999999977139,0.0,0,False
44,0.005721999999991567,0.0,0,False
45,0.003118999999969674,0.0,0,False
46,0.0012770000000728032,0.0,0,False
47,0.01430100000004586,0.0,0,False
48,0.0020339999999805514,0.0,0,False
49,0.0015869999999722495,0.0,0,False
50,0.0038920000000643995,0.0,0,False
51,0.004050000000006548,0.0,0,False
52,0.014704999999935353,0.0,0,False
53,0.006936999999993532,0.0,0,False
54,0.028941000000031636,0.0,0,False
55,0.008808000000044558,0.0,0,False
56,0.031104000000027554,0.0,0,False
57,0.01236200000005283,0.0,0,False
58,0.009401000000025306,0.0,0,False
59,0.005432000000041626,0.0,0,False
60,0.0020640000000184955,0.0,0,False
61,0.011146000000053391,0.0,0,False
62,0.007272999999941021,0.0,0,False
63,0.00539400000002388,0.0,0,False
64,0.013235000000008768,0.0,0,False
65,0.012615999999979977,0.0,0,False
66,0.003800999999953092,0.0,0,False
67,0.0024940000000697182,0.0,0,False
68,0.014112000000068292,0.0,0,False
69,0.015603000000055545,0.0,0,False
70,0.0015260000000125729,0.0,0,False
71,0.0027489999999943393,0.0,0,False
72,0.010476999999923464,0.0,0,False
73,0.013127999999937856,0.0,0,False
74,0.001803000000109023,0.0,0,False
75,0.002372000000036678,0.0,0,False
76,0.005580000000009022,0.0,0,False
77,0.008728000000019165,0.0,0,False
78,0.004525999999941632,0.0,0,False
79,0.005723999999986518,0.0,0,False
80,0.0009660000000621949,0.0,0,False
81,0.005030999999917185,0.0,0,False
82,0.00774300000000494,0.0,0,False
83,0.00523400000008678,0.0,0,False
84,0.005168000000026041,0.0,0,False
85,0.010182999999983622,0.0,0,False
86,0.001996000000076492,0.0,0,False
87,0.012528999999972257,0.0,0,False
88,0.011807999999973617,0.0,0,False
89,0.010105999999950654,0.0,0,False
90,0.016202000000021144,0.0,0,False
91,0.007350999999971464,0.0,0,False
92,0.007703999999989719,0.0,0,False
93,0.003578999999945154,0.0,0,False
94,0.005212000000028638,0.0,0,False
95,0.03285799999991923,0.0,0,False
96,0.005654999999933352,0.0,0,False
97,0.01616999999998825,0.0,0,False
98,0.0014569999999594074,0.0,0,False
99,0.02193499999998494,0.0,0,False
100,0.02248199999996814,0.0,0,False
101,0.039168000000017855,0.0,0,False
102,0.006378999999924417,0.0,0,False
103,0.005081000000018321,0.0,0,False
104,0.0031430000000227665,0.0,0,False
105,0.03610700000001543,0.0,0,False
106,0.02359799999999268,0.0,0,False
107,0.007863999999926818,0.0,0,False
108,0.022649999999998727,0.0,0,False
109,0.008103000000005522,0.0,0,False
110,0.023836999999957698,0.0,0,False
111,0.03162099999997281,0.0,0,False
112,0.003706000000079257,0.0,0,False
113,0.020220999999992273,0.0,0,False
114,0.0019059999999626598,0.0,0,False
115,0.00992600000006405,0.0,0,False
116,0.009492000000022927,0.0,0,False
117,0.012494999999944412,0.0,0,False
118,0.006122000000004846,0.0,0,False
119,0.01324299999998857,0.0,0,False
120,0.009494000000017877,0.0,0,False
121,0.035397999999986496,0.0,0,False
122,0.01027800000008483,0.0,0,False
123,0.008181000000035965,0.0,0,False
124,0.014721999999892432,0.0,0,False
125,0.01029500000004191,0.0,0,False
126,0.020949999999970714,0.0,0,False
127,0.004658000000063112,0.0,0,False
128,0.015061000000059721,0.0,0,False
129,0.02643799999998464,0.0,0,False
130,0.015001999999981308,0.0,0,False
131,0.0021639999999933934,0.0,0,False
