params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",7.926218999999946,100,-0.07976372394766432,-0.07741674375578166,-0.13333333333333336,-0.01923076923076925,0.022434124824176175
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",7.730111999999963,100,-0.07733947813983756,-0.078125,-0.12368421052631581,-0.016000000000000014,0.016286179525116264
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",6.2778370000000905,100,-0.07303263833057749,-0.07499999999999998,-0.15000000000000002,-0.0045454545454545695,0.025170710405659904
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",3.958450999999968,100,-0.1236039373853651,-0.12647058823529414,-0.21250000000000002,-0.01923076923076925,0.03170995484325006
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.95}",3.0066819999999552,100,-0.17017187179500856,-0.16923076923076924,-0.27999999999999997,-0.008695652173913071,0.04587425603706806
"{""alpha"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.99}",2.833637000000067,100,-0.17131614695335248,-0.16675824175824178,-0.27999999999999997,-0.1089108910891089,0.04114294757958457
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",10.296933999999965,100,-0.07882146833094304,-0.08065415821501012,-0.13000000000000003,-2.114710523095536e-17,0.019906478947864938
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",10.151634999999942,100,-0.0785066981338678,-0.07856919712589816,-0.11914893617021272,-0.03636363636363637,0.017340439416000605
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",10.274671000000012,100,-0.08217288198127637,-0.08284313725490194,-0.11914893617021272,-0.01923076923076925,0.018886878638075418
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",8.948108999999931,100,-0.08032946496573193,-0.08133296460176992,-0.12903225806451615,-0.02222222222222224,0.018193094043515396
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",8.56109000000015,100,-0.07461361621541564,-0.0751470588235294,-0.125,-0.016000000000000014,0.018581358893124407
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",8.531401000000187,100,-0.07926435459110674,-0.08009433962264151,-0.13461538461538464,-0.027586206896551748,0.01983044675860203
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",6.669122000000016,100,-0.07543342335778616,-0.07558139534883719,-0.12368421052631581,-0.03225806451612906,0.019078805261616278
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",3.864849999999933,100,-0.12302767933483619,-0.11698113207547167,-0.27999999999999997,-0.008695652173913071,0.056986493266945874
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.95}",3.1730629999999564,100,-0.15853030443010613,-0.15294117647058825,-0.27999999999999997,-0.04000000000000001,0.04430614642404352
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.1, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.99}",2.9934809999999743,100,-0.15981721026474965,-0.15625,-0.27999999999999997,-0.03225806451612906,0.04379750576844714
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",9.817017999999962,100,-0.079610449484686,-0.07990384615384616,-0.11914893617021272,0.02352941176470588,0.02265854687941026
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",8.98048700000004,100,-0.0757521526988573,-0.07571524064171122,-0.1272727272727273,-2.114710523095536e-17,0.020828432553327777
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",8.74606300000005,100,-0.07792267010171598,-0.07613636363636363,-0.11666666666666663,-0.030000000000000027,0.019374196590624098
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.5}",8.805123999999978,100,-0.08060957383103813,-0.08235169491525424,-0.12142857142857141,-0.030000000000000027,0.019537122670666412
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.6}",8.108282000000145,100,-0.07703170084925903,-0.07820967741935482,-0.13000000000000003,-0.016000000000000014,0.018533218849034062
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.7}",10.083904000000075,100,-0.0751355725223434,-0.07613328167376984,-0.11956521739130431,-0.030000000000000027,0.019186460726926553
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.8}",7.256542999999965,100,-0.08202427001805176,-0.0824264705882353,-0.128125,-0.008695652173913071,0.023195663924193075
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.9}",4.011919000000034,100,-0.12790301573601817,-0.12571428571428572,-0.19,-0.04615384615384617,0.027387568947571772
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.95}",3.1339560000001256,100,-0.1702466210914946,-0.1642857142857143,-0.27999999999999997,-0.027586206896551748,0.04075226688798681
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.3, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.99}",2.9238030000001345,100,-0.149273769374099,-0.14500000000000002,-0.27999999999999997,-0.04000000000000001,0.034826865985492346
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.2}",9.607924999999796,100,-0.08423193668430023,-0.08390591966173361,-0.11636363636363632,-0.03823529411764707,0.013953295637377879
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.3}",9.30570200000011,100,-0.0793570885365425,-0.08133296460176992,-0.1230769230769231,-0.0045454545454545695,0.02218118262534985
"{""alpha"": 0.1, ""q_init"": 0, ""epsilon"": 0.5, ""epsilon_decay"": 0.0001, ""discount_factor"": 0.4}",8.529667999999901,100,-0.08207161934511559,-0.0837170162889944,-0.12647058823529414,-0.04000000000000001,0.015482130841400597
