steps,time,reward,delta,converged
1,0.0015410000000883883,-0.14500000000000002,1.0,False
2,0.0016949999999269494,-0.13600000000000004,1.0,False
3,0.000889000000370288,-0.16923076923076924,1.0,False
4,0.0025829999999587017,-0.12368421052631584,1.0,False
5,0.000495000000228174,-0.2125,1.0,False
6,0.0030390000001716544,-0.11874999999999998,1.0,False
7,0.0013189999999667634,-0.14285714285714288,1.0,False
8,0.0009709999999358843,-0.16000000000000003,1.0,False
9,0.0005080000000816653,-0.2285714285714286,1.0,False
10,0.0012469999996937986,-0.14500000000000002,1.0,False
11,0.0009620000000722939,-0.16000000000000003,1.0,False
12,0.0006889999999657448,-0.2125,1.0,False
13,0.0007630000000062864,-0.17499999999999996,1.0,False
14,0.001623000000108732,-0.13333333333333336,1.0,False
15,0.0027609999997366685,-0.12000000000000001,1.0,False
16,0.0017419999999219726,-0.13214285714285717,1.0,False
17,0.0038159999999152205,-0.11428571428571419,1.0,False
18,0.0013549999998758722,-0.16923076923076924,1.0,False
19,0.0042140000000472355,-0.11451612903225797,1.0,False
20,0.004629999999906431,-0.11836734693877549,1.0,False
21,0.005615999999918131,-0.11216216216216203,1.0,False
22,0.0026530000000093423,-0.12307692307692314,1.0,False
23,0.0033520000001772132,-0.11666666666666661,1.0,False
24,0.0017900000002555316,-0.13103448275862073,1.0,False
25,0.0008250000000771252,-0.16923076923076924,1.0,False
26,0.0013250000001789886,-0.14285714285714288,1.0,False
27,0.002746999999999389,-0.12000000000000001,1.0,False
28,0.002379000000019005,-0.12307692307692314,1.0,False
29,0.00426500000003216,-0.11267605633802805,1.0,False
30,0.0016600000003563764,-0.13333333333333336,1.0,False
31,0.003436999999848922,-0.12195121951219516,1.0,False
32,0.0021480000000337895,-0.13750000000000004,1.0,False
33,0.002908999999817752,-0.14285714285714288,1.0,False
34,0.0038420000000769505,-0.12903225806451618,1.0,False
35,0.01407599999993181,-0.10749999999999978,1.0,False
36,0.0020719999997709238,-0.15000000000000002,1.0,False
37,0.0041350000001330045,-0.12307692307692314,1.0,False
38,0.0013639999997394625,-0.16000000000000003,1.0,False
39,0.00310300000001007,-0.12045454545454547,1.0,False
40,0.0010659999998097192,-0.15625,1.0,False
41,0.0010030000003098394,-0.16000000000000003,1.0,False
42,0.003188000000136526,-0.11836734693877549,1.0,False
43,0.002126999999745749,-0.12812500000000004,1.0,False
44,0.0037489999999706924,-0.11551724137931027,1.0,False
45,0.0014030000002094312,-0.14090909090909093,1.0,False
46,0.0011090000002695888,-0.15294117647058827,1.0,False
47,0.0009839999997893756,-0.16000000000000003,1.0,False
48,0.0010620000002745655,-0.15625,1.0,False
49,0.0014569999998457206,-0.14090909090909093,1.0,False
50,0.0020409999997355044,-0.13000000000000003,1.0,False
51,0.000931999999920663,-0.16428571428571428,1.0,False
52,0.0032150000001820445,-0.11799999999999997,1.0,False
53,0.0031669999998484855,-0.11874999999999998,1.0,False
54,0.0011129999998047424,-0.15294117647058827,1.0,False
55,0.005040000000008149,-0.11304347826086944,1.0,False
56,0.0004619999999704305,-0.27999999999999997,1.0,False
57,0.0008299999999508145,-0.17499999999999996,1.0,False
58,0.0006370000000970322,-0.19999999999999998,1.0,False
59,0.000875000000178261,-0.16923076923076924,1.0,False
60,0.0009459999996579427,-0.16923076923076924,1.0,False
61,0.0029300000001057924,-0.12000000000000001,1.0,False
62,0.0030700000002070738,-0.11956521739130435,1.0,False
