step,reward,mean,median,std,max,min
0,-0.07050359712230214,-0.07050359712230214,-0.07050359712230214,0.0,-0.07050359712230214,-0.07050359712230214
1,-0.05684210526315786,-0.06367285119273,-0.06367285119273,0.006830745929572141,-0.05684210526315786,-0.07050359712230214
2,-0.0414285714285714,-0.0562580912713438,-0.05684210526315786,0.011877010960387626,-0.0414285714285714,-0.07050359712230214
3,-0.10989010989010987,-0.06966609592603532,-0.06367285119273,0.02539923834439852,-0.0414285714285714,-0.10989010989010987
4,-0.058585858585858575,-0.06745004845799997,-0.058585858585858575,0.023146069046444902,-0.0414285714285714,-0.10989010989010987
5,-0.014583333333333332,-0.05863892927055553,-0.05771398192450822,0.02888995558313916,-0.014583333333333332,-0.10989010989010987
6,-0.05816326530612244,-0.05857097727563652,-0.05816326530612244,0.026747419462889412,-0.014583333333333332,-0.10989010989010987
7,-0.012765957446808465,-0.05284534979703301,-0.05750268528464015,0.02924852239172883,-0.012765957446808465,-0.10989010989010987
8,-0.06846153846153845,-0.05458048187086695,-0.05816326530612244,0.028009081256260646,-0.012765957446808465,-0.10989010989010987
9,-0.0068181818181817936,-0.049804251865598434,-0.05750268528464015,0.030188890789607955,-0.0068181818181817936,-0.10989010989010987
10,-0.07405063291139238,-0.05200846832430697,-0.05816326530612244,0.02961592629392831,-0.0068181818181817936,-0.10989010989010987
11,-0.08876712328767121,-0.055071689571253996,-0.05837456194599051,0.030120221356180896,-0.0068181818181817936,-0.10989010989010987
12,-0.06306306306306304,-0.05568641060908546,-0.058585858585858575,0.029016815283321278,-0.0068181818181817936,-0.10989010989010987
13,-0.0068181818181817936,-0.052195822838306635,-0.05837456194599051,0.030663155348288687,-0.0068181818181817936,-0.10989010989010987
14,-0.07657142857142854,-0.053820863220514756,-0.058585858585858575,0.030240994421464263,-0.0068181818181817936,-0.10989010989010987
15,-0.051190476190476175,-0.053656464031137344,-0.05837456194599051,0.02928763887762399,-0.0068181818181817936,-0.10989010989010987
16,0.024242424242424235,-0.04907417648563372,-0.05816326530612244,0.03381222746558002,0.024242424242424235,-0.10989010989010987
17,-0.07602339181286548,-0.05057135511492437,-0.05837456194599051,0.033434385794849926,0.024242424242424235,-0.10989010989010987
18,-0.0829166666666667,-0.05227373993343712,-0.058585858585858575,0.03333451015220606,0.024242424242424235,-0.10989010989010987
19,-0.038805970149253716,-0.051600351444227956,-0.05837456194599051,0.03262277851170469,0.024242424242424235,-0.10989010989010987
20,-0.045333333333333316,-0.051301922010375825,-0.05816326530612244,0.03186453380724207,0.024242424242424235,-0.10989010989010987
