episode,length,time,reward,delta
0,58.0,0.0037550000000123873,0.0,0.00011643610120423402
1,61.0,0.003960000000006403,0.0,0.00032418023531886734
2,60.0,0.004071999999951004,0.0,0.00016021403537745175
3,67.0,0.004772000000002663,0.0,0.0002886788525672495
4,14.0,0.0016400000000089676,0.0,-0.0005190222792980518
5,41.0,0.0038630000000239306,0.0,5.4815892362619666e-05
6,70.0,0.005874000000005708,0.0,-0.0005201947903052381
7,75.0,0.004859999999951015,0.0,-0.00041137055109182955
8,25.0,0.0016600000000153159,0.0,-0.00022521388922618985
9,37.0,0.0024740000000065265,0.0,-0.00027117395657988544
10,12.0,0.0008420000000342043,0.0,0.0001576987926704764
11,7.0,0.0005499999999756255,0.0,-0.00028488539784236145
12,11.0,0.0007850000000075852,0.0,9.86190339026031e-05
13,18.0,0.0012639999999919382,0.0,-0.00022693232040376152
14,31.0,0.002005999999994401,0.0,-0.00014244269892118075
15,9.0,0.0006070000000022446,0.0,0.0002465319658027179
16,29.0,0.001924000000030901,0.0,0.00011139091926634995
17,8.0,0.0006309999999984939,0.0,0.0002029139648647648
18,13.0,0.0009029999999938809,0.0,0.00018994547780352058
19,118.0,0.007522999999991953,0.0,-0.0002099427064548915
20,38.0,0.0024750000000040018,0.0,-0.00014990548000370972
21,9.0,0.0006639999999720203,0.0,-0.0001413384355924674
22,11.0,0.0007919999999899119,0.0,0.00016270644763612257
23,32.0,0.002070000000003347,0.0,-0.00016191791922677497
24,23.0,0.0015480000000138716,0.0,0.0001544212828149346
25,37.0,0.002341999999998734,0.0,0.00019749680976270748
26,42.0,0.0027450000000044383,0.0,-8.095895961338751e-05
27,18.0,0.0012030000000322616,0.0,0.0002654941608961279
28,27.0,0.0018200000000092587,0.0,0.00026522748496898136
29,16.0,0.0010779999999499523,0.0,0.00017273241113305345
30,16.0,0.0010719999999651009,0.0,-0.0006245957181009995
31,19.0,0.0013390000000299551,0.0,-8.848772361273266e-05
32,19.0,0.0012560000000121363,0.0,-4.424386180636636e-05
33,50.0,0.003219000000001415,0.0,0.0002320113028098983
34,20.0,0.0013789999999858082,0.0,0.00021249553733836813
35,39.0,0.0025559999999700267,0.0,-0.00013558697828994275
36,4.0,0.00038200000000188084,0.0,0.00010624776866918406
37,22.0,0.001431999999965683,0.0,0.00018839683088623377
38,8.0,0.0005419999999958236,0.0,0.00025421462224289426
39,16.0,0.001076999999952477,0.0,0.00021024561004804975
40,18.0,0.0012639999999919382,0.0,-0.0006981639843947129
41,22.0,0.001423999999985881,0.0,0.00024875144013677
42,16.0,0.0010819999999966967,0.0,-0.00011346616020188079
43,10.0,0.0007270000000403343,0.0,0.0002627381790251196
44,107.0,0.006784000000038759,0.0,-0.000342881082868161
45,5.0,0.000367999999980384,0.0,0.00011780741322625277
46,34.0,0.002338000000008833,0.0,0.00012127920805028725
47,35.0,0.002375000000029104,0.0,0.00021329906078091466
48,54.0,0.003765999999984615,0.0,5.890370661312637e-05
49,18.0,0.0012699999999767897,0.0,2.9451853306563158e-05
50,98.0,0.006484999999997854,0.0,3.3409160052062185e-05
51,14.0,0.001416000000006079,0.0,0.00029711586443421277
52,10.0,0.0007830000000126347,0.0,0.00011873615668042496
53,19.0,0.0012609999999995125,0.0,0.00025576553415339114
54,14.0,0.000964000000010401,0.0,0.00014834672850476557
55,11.0,0.0007849999999507418,0.0,-5.673308010094037e-05
56,10.0,0.0007190000000036889,0.0,-0.00011260694461309495
57,16.0,0.0012239999999792417,0.0,8.095630406637459e-05
58,18.0,0.0013680000000135806,0.0,0.00020864854122246973
59,11.0,0.0007830000000126347,0.0,7.417336425238278e-05
60,20.0,0.0013250000000084583,0.0,-0.0003490819921973564
