steps,time,reward,delta,converged
1,0.0026550000002316665,-0.12195121951219516,1.0,False
2,0.0035139999999955762,-0.1160714285714285,1.0,False
3,0.001044999999976426,-0.15625,1.0,False
4,0.0045820000000276195,-0.11323529411764695,1.0,False
5,0.003515999999763153,-0.11636363636363631,1.0,False
6,0.0009440000003451132,-0.16428571428571428,1.0,False
7,0.000984000000244123,-0.16000000000000003,1.0,False
8,0.0014820000001236622,-0.13913043478260873,1.0,False
9,0.0007490000002690067,-0.18181818181818182,1.0,False
10,0.002830000000358268,-0.12045454545454547,1.0,False
11,0.0019539999998414714,-0.13000000000000003,1.0,False
12,0.0022100000001046283,-0.12571428571428578,1.0,False
13,0.0012360000000626314,-0.15000000000000002,1.0,False
14,0.000323999999636726,-0.27999999999999997,1.0,False
15,0.0006199999997988925,-0.19,1.0,False
16,0.0014400000000023283,-0.13913043478260873,1.0,False
17,0.0026210000000901346,-0.12142857142857147,1.0,False
18,0.001874000000043452,-0.13103448275862073,1.0,False
19,0.0007430000000567816,-0.18181818181818182,1.0,False
20,0.004963999999745283,-0.11153846153846139,1.0,False
21,0.001247000000148546,-0.15000000000000002,1.0,False
22,0.0010200000001532317,-0.15625,1.0,False
23,0.007763000000068132,-0.10749999999999978,1.0,False
24,0.002519000000120286,-0.12368421052631584,1.0,False
25,0.001920999999583728,-0.13000000000000003,1.0,False
26,0.001081000000340282,-0.15294117647058827,1.0,False
27,0.0013730000000578002,-0.14090909090909093,1.0,False
28,0.0006100000000515138,-0.19,1.0,False
29,0.005060999999841442,-0.11111111111111095,1.0,False
30,0.002278999999816733,-0.12500000000000006,1.0,False
31,0.0013590000003205205,-0.14090909090909093,1.0,False
32,0.0009649999997236591,-0.16000000000000003,1.0,False
33,0.0007850000001781154,-0.17499999999999996,1.0,False
34,0.0017800000000534055,-0.13214285714285717,1.0,False
35,0.0005489999998644635,-0.19999999999999998,1.0,False
36,0.002304999999978463,-0.12432432432432436,1.0,False
37,0.0008459999999104184,-0.16923076923076924,1.0,False
38,0.0031779999999344,-0.11764705882352938,1.0,False
39,0.002778000000034808,-0.12045454545454547,1.0,False
40,0.0029669999998986896,-0.11914893617021276,1.0,False
41,0.004023999999844818,-0.11428571428571419,1.0,False
42,0.0029690000001210137,-0.11914893617021276,1.0,False
43,0.0012000000001535227,-0.14736842105263162,1.0,False
44,0.001239000000168744,-0.14736842105263162,1.0,False
45,0.0016989999999168504,-0.13461538461538464,1.0,False
46,0.000747999999930471,-0.18181818181818182,1.0,False
47,0.00173899999981586,-0.13333333333333336,1.0,False
48,0.0013279999998303538,-0.14500000000000002,1.0,False
49,0.0005550000000766886,-0.2125,1.0,False
50,0.0008989999996629194,-0.16428571428571428,1.0,False
51,0.0018730000001596636,-0.13103448275862073,1.0,False
52,0.004754999999931897,-0.11168831168831155,1.0,False
53,0.001968999999917287,-0.12903225806451618,1.0,False
54,0.0009699999995973485,-0.16000000000000003,1.0,False
55,0.0017339999999421707,-0.13333333333333336,1.0,False
56,0.0021560000000135915,-0.12647058823529417,1.0,False
57,0.0008640000000923465,-0.16428571428571428,1.0,False
58,0.0004349999999249121,-0.2285714285714286,1.0,False
59,0.005450000000109867,-0.11022727272727256,1.0,False
60,0.001138000000082684,-0.15000000000000002,1.0,False
61,0.0010800000000017462,-0.15294117647058827,1.0,False
62,0.003885000000082073,-0.11451612903225797,1.0,False
63,0.0027800000002571323,-0.12093023255813956,1.0,False
64,0.0014449999998760177,-0.14090909090909093,1.0,False
65,0.0007999999997991836,-0.17499999999999996,1.0,False
66,0.00091999999995096,-0.16428571428571428,1.0,False
67,0.000784000000294327,-0.16923076923076924,1.0,False
68,0.002540999999837368,-0.12250000000000005,1.0,False
69,0.0009820000000217988,-0.16000000000000003,1.0,False
70,0.0008569999999963329,-0.16923076923076924,1.0,False
71,0.0011800000002040179,-0.16000000000000003,1.0,False
72,0.0009709999999358843,-0.16000000000000003,1.0,False
73,0.0021010000000387663,-0.12727272727272732,1.0,False
74,0.000529999999798747,-0.2285714285714286,1.0,False
75,0.0011599999997997656,-0.15000000000000002,1.0,False
76,0.0006750000002284651,-0.2125,1.0,False
77,0.0008849999999256397,-0.17499999999999996,1.0,False
78,0.002510000000256696,-0.13103448275862073,1.0,False
79,0.0034190000001217413,-0.12432432432432436,1.0,False
80,0.0007730000002084125,-0.2125,1.0,False
81,0.012279000000035012,-0.10841121495327083,1.0,False
82,0.002253999999993539,-0.14090909090909093,1.0,False
83,0.003931999999622349,-0.13214285714285717,1.0,False
84,0.0009070000000974687,-0.2285714285714286,1.0,False
85,0.0005140000002938905,-0.27999999999999997,1.0,False
86,0.000889000000370288,-0.2125,1.0,False
87,0.0026229999998577114,-0.12571428571428578,1.0,False
88,0.0021219999998720596,-0.13913043478260873,1.0,False
89,0.0005129999999553547,-0.27999999999999997,1.0,False
90,0.0014510000000882428,-0.14090909090909093,1.0,False
91,0.000980000000254222,-0.16428571428571428,1.0,False
92,0.0009770000001481094,-0.16000000000000003,1.0,False
93,0.0029860000004191534,-0.11956521739130435,1.0,False
94,0.0004899999998997373,-0.2285714285714286,1.0,False
95,0.0018079999999827123,-0.13214285714285717,1.0,False
96,0.0015800000001036096,-0.13750000000000004,1.0,False
97,0.0005750000000261934,-0.2125,1.0,False
98,0.0032169999999496213,-0.11874999999999998,1.0,False
99,0.0009350000000267755,-0.16428571428571428,1.0,False
100,0.0018609999997352134,-0.13214285714285717,1.0,False
101,0.004179999999905704,-0.11384615384615374,1.0,False
102,0.0009850000001279113,-0.16000000000000003,1.0,False
103,0.0011059999997087289,-0.15294117647058827,1.0,False
104,0.002527000000100088,-0.12307692307692314,1.0,False
105,0.0017800000000534055,-0.13600000000000004,1.0,False
106,0.0007470000000466825,-0.18181818181818182,1.0,False
107,0.001435000000128639,-0.14090909090909093,1.0,False
108,0.002227999999831809,-0.12647058823529417,1.0,False
109,0.0013319999998202547,-0.14285714285714288,1.0,False
110,0.001495999999860942,-0.13750000000000004,1.0,False
111,0.0015590000002703164,-0.13600000000000004,1.0,False
112,0.0007559999999102729,-0.18181818181818182,1.0,False
113,0.007356000000072527,-0.10775862068965496,1.0,False
114,0.00037999999995008693,-0.25,1.0,False
115,0.004051999999774125,-0.11428571428571419,1.0,False
116,0.0013109999999869615,-0.14500000000000002,1.0,False
117,0.00482800000008865,-0.11216216216216203,1.0,False
118,0.0005729999998038693,-0.2125,1.0,False
119,0.003439000000071246,-0.11698113207547164,1.0,False
120,0.0016029999997044797,-0.13750000000000004,1.0,False
121,0.0021099999999023566,-0.12727272727272732,1.0,False
122,0.0020870000003014866,-0.12812500000000004,1.0,False
123,0.001518000000032771,-0.13913043478260873,1.0,False
124,0.0012199999996482802,-0.14736842105263162,1.0,False
125,0.007987000000412081,-0.10719999999999978,1.0,False
126,0.003711000000294007,-0.11578947368421046,1.0,False
127,0.0008239999997385894,-0.17499999999999996,1.0,False
128,0.001623000000108732,-0.13600000000000004,1.0,False
129,0.003302999999959866,-0.11764705882352938,1.0,False
130,0.0009939999999915017,-0.16000000000000003,1.0,False
131,0.0018180000001848384,-0.13214285714285717,1.0,False
132,0.0031509999998888816,-0.11836734693877549,1.0,False
133,0.0015070000004016038,-0.13750000000000004,1.0,False
134,0.0011779999999816937,-0.15294117647058827,1.0,False
135,0.0003950000000259024,-0.27999999999999997,1.0,False
136,0.0008739999998397252,-0.16923076923076924,1.0,False
137,0.0007009999999354477,-0.19,1.0,False
138,0.0008689999999660358,-0.16923076923076924,1.0,False
139,0.0017590000002201123,-0.13333333333333336,1.0,False
140,0.0015819999998711864,-0.13913043478260873,1.0,False
141,0.0026490000000194414,-0.12195121951219516,1.0,False
142,0.0013490000001183944,-0.14285714285714288,1.0,False
143,0.0006310000003395544,-0.19,1.0,False
144,0.0013619999999718857,-0.14285714285714288,1.0,False
145,0.0016500000001542503,-0.13461538461538464,1.0,False
146,0.00032200000032389653,-0.27999999999999997,1.0,False
147,0.0017539999998916755,-0.13214285714285717,1.0,False
148,0.0027479999998831772,-0.12142857142857147,1.0,False
149,0.001896000000215281,-0.13103448275862073,1.0,False
150,0.001938000000336615,-0.13000000000000003,1.0,False
151,0.00044699999989461503,-0.2285714285714286,1.0,False
152,0.0007389999996121333,-0.17499999999999996,1.0,False
153,0.0003810000002886227,-0.25,1.0,False
154,0.0013290000001688895,-0.14500000000000002,1.0,False
155,0.0012229999997543928,-0.14736842105263162,1.0,False
156,0.003447000000051048,-0.11698113207547164,1.0,False
157,0.001044999999976426,-0.15625,1.0,False
158,0.0015700000003562309,-0.13600000000000004,1.0,False
159,0.0012820000001738663,-0.14500000000000002,1.0,False
160,0.0014489999998659187,-0.14090909090909093,1.0,False
161,0.0017600000001039007,-0.13333333333333336,1.0,False
162,0.001356000000214408,-0.14500000000000002,1.0,False
163,0.0030590000001211592,-0.11874999999999998,1.0,False
164,0.002227000000402768,-0.12571428571428578,1.0,False
165,0.0006920000000718574,-0.19,1.0,False
166,0.002862000000277476,-0.12045454545454547,1.0,False
